customer_code,segment,lifetime_value,orders_count,successful_payments,failed_payments,previous_recovery_success,contact_count
CUST_00107,reliable,14006.92,7,7,0,0.75,0
CUST_00108,occasional,7952.13,7,6,1,0.55,0
CUST_00109,occasional,3679.03,2,2,0,0.55,0
CUST_00110,frequent_failure,8074.02,8,8,0,0.35,0
CUST_00111,unresponsive,2786.17,2,2,0,0.25,0
CUST_00112,reliable,24342.06,10,10,0,0.75,0
CUST_00113,occasional,2775.72,2,2,0,0.55,0
CUST_00114,reliable,17148.57,11,9,2,0.75,0
CUST_00115,frequent_failure,6557.1,7,6,1,0.35,0
CUST_00116,unresponsive,8302.43,5,4,1,0.25,0
CUST_00117,reliable,12193.96,9,8,1,0.75,0
CUST_00118,price_sensitive,5960.29,7,6,1,0.6,0
CUST_00119,price_sensitive,2872.97,3,3,0,0.6,0
CUST_00120,reliable,32311.98,18,17,1,0.75,0
CUST_00121,high_value,31035.56,5,5,0,0.8,0
CUST_00122,occasional,4719.7,3,3,0,0.55,0
CUST_00123,high_value,68367.89,9,7,2,0.8,0
CUST_00124,occasional,3581.91,4,4,0,0.55,0
CUST_00125,reliable,6193.94,5,4,1,0.75,0
CUST_00126,occasional,3064.05,2,2,0,0.55,0
CUST_00127,reliable,25353.17,11,11,0,0.75,0
CUST_00128,frequent_failure,3451.85,8,2,6,0.35,0
CUST_00129,unresponsive,3298.15,3,3,0,0.25,0
CUST_00130,unresponsive,19597.55,9,9,0,0.25,0
CUST_00131,occasional,5816.31,5,5,0,0.55,0
CUST_00132,reliable,15662.54,6,6,0,0.75,0
CUST_00133,unresponsive,1419.08,1,1,0,0.25,0
CUST_00134,frequent_failure,2561.2,7,5,2,0.35,0
CUST_00135,reliable,8433.94,6,6,0,0.75,0
CUST_00136,occasional,2826.36,2,2,0,0.55,0
CUST_00137,reliable,15692.35,6,6,0,0.75,0
CUST_00138,high_value,73540.0,10,9,1,0.8,0
CUST_00139,high_value,20698.05,3,3,0,0.8,0
CUST_00140,reliable,21899.62,12,11,1,0.75,0
CUST_00141,occasional,1781.87,1,1,0,0.55,0
CUST_00142,occasional,5444.97,6,4,2,0.55,0
CUST_00143,reliable,26290.08,13,13,0,0.75,0
CUST_00144,unresponsive,3408.54,3,2,1,0.25,0
CUST_00145,occasional,9185.99,6,6,0,0.55,0
CUST_00146,reliable,14087.36,8,8,0,0.75,0
CUST_00147,occasional,9011.99,7,7,0,0.55,0
CUST_00148,high_value,79757.32,7,7,0,0.8,0
CUST_00149,reliable,11176.23,6,6,0,0.75,0
CUST_00150,occasional,9350.32,6,6,0,0.55,0
CUST_00151,frequent_failure,6449.81,8,5,3,0.35,0
CUST_00152,price_sensitive,3301.87,3,2,1,0.6,0
CUST_00153,occasional,6887.76,6,5,1,0.55,0
CUST_00154,occasional,13635.6,11,9,2,0.55,0
CUST_00155,reliable,7552.58,3,3,0,0.75,0
CUST_00156,reliable,7094.34,5,5,0,0.75,0
CUST_00157,occasional,6395.55,7,7,0,0.55,0
CUST_00158,price_sensitive,4532.61,7,7,0,0.6,0
CUST_00159,reliable,5842.86,5,4,1,0.75,0
CUST_00160,reliable,15063.27,9,9,0,0.75,0
CUST_00161,reliable,14573.02,6,6,0,0.75,0
CUST_00162,price_sensitive,3238.01,4,3,1,0.6,0
CUST_00163,reliable,23569.27,10,9,1,0.75,0
CUST_00164,frequent_failure,6185.02,7,6,1,0.35,0
CUST_00165,unresponsive,985.22,1,1,0,0.25,0
CUST_00166,reliable,21125.37,11,11,0,0.75,0
CUST_00167,reliable,9046.95,6,6,0,0.75,0
CUST_00168,price_sensitive,763.42,2,1,1,0.6,0
CUST_00169,reliable,17604.45,13,13,0,0.75,0
CUST_00170,reliable,18749.13,9,9,0,0.75,0
CUST_00171,frequent_failure,6267.32,10,6,4,0.35,0
CUST_00172,price_sensitive,2935.64,4,4,0,0.6,0
CUST_00173,occasional,10330.06,8,6,2,0.55,0
CUST_00174,high_value,34778.68,6,5,1,0.8,0
CUST_00175,unresponsive,8039.01,7,6,1,0.25,0
CUST_00176,reliable,10191.81,5,5,0,0.75,0
CUST_00177,reliable,12285.61,9,9,0,0.75,0
CUST_00178,occasional,1546.02,3,1,2,0.55,0
CUST_00179,occasional,4741.24,4,4,0,0.55,0
CUST_00180,occasional,6470.68,6,5,1,0.55,0
CUST_00181,high_value,51091.46,6,6,0,0.8,0
CUST_00182,price_sensitive,1308.77,1,1,0,0.6,0
CUST_00183,frequent_failure,2930.75,4,3,1,0.35,0
CUST_00184,reliable,14288.62,8,8,0,0.75,0
CUST_00185,occasional,15085.41,9,7,2,0.55,0
CUST_00186,occasional,5940.0,6,5,1,0.55,0
CUST_00187,unresponsive,2907.74,2,2,0,0.25,0
CUST_00188,reliable,7532.42,4,4,0,0.75,0
CUST_00189,reliable,14512.46,7,7,0,0.75,0
CUST_00190,occasional,3717.81,3,2,1,0.55,0
CUST_00191,occasional,5728.4,5,3,2,0.55,0
CUST_00192,reliable,23487.05,9,9,0,0.75,0
CUST_00193,reliable,23461.79,11,10,1,0.75,0
CUST_00194,frequent_failure,8781.4,8,7,1,0.35,0
CUST_00195,occasional,16271.85,8,8,0,0.55,0
CUST_00196,unresponsive,9247.1,5,5,0,0.25,0
CUST_00197,price_sensitive,5191.82,5,4,1,0.6,0
CUST_00198,reliable,9803.71,4,4,0,0.75,0
CUST_00199,frequent_failure,6139.1,5,4,1,0.35,0
CUST_00200,unresponsive,7254.33,7,5,2,0.25,0
CUST_00201,frequent_failure,1358.86,2,1,1,0.35,0
CUST_00202,frequent_failure,5141.89,9,5,4,0.35,0
CUST_00203,unresponsive,3757.11,2,2,0,0.25,0
CUST_00204,reliable,13379.32,6,6,0,0.75,0
CUST_00205,occasional,8888.09,8,7,1,0.55,0
CUST_00206,reliable,11449.68,5,5,0,0.75,0
CUST_00207,occasional,5083.64,6,4,2,0.55,0
CUST_00208,reliable,13865.58,7,7,0,0.75,0
CUST_00209,occasional,3174.81,5,3,2,0.55,0
CUST_00210,frequent_failure,5049.76,7,5,2,0.35,0
CUST_00211,reliable,3020.18,3,3,0,0.75,0
CUST_00212,high_value,33450.29,6,6,0,0.8,0
CUST_00213,occasional,6253.0,5,4,1,0.55,0
CUST_00214,occasional,4162.58,3,3,0,0.55,0
CUST_00215,frequent_failure,4124.13,7,4,3,0.35,0
CUST_00216,frequent_failure,9295.98,10,7,3,0.35,0
CUST_00217,price_sensitive,3868.98,4,4,0,0.6,0
CUST_00218,high_value,57125.09,10,10,0,0.8,0
CUST_00219,reliable,21594.73,11,11,0,0.75,0
CUST_00220,reliable,31405.27,13,13,0,0.75,0
CUST_00221,frequent_failure,3923.61,6,3,3,0.35,0
CUST_00222,price_sensitive,10418.52,7,7,0,0.6,0
CUST_00223,occasional,2236.24,2,2,0,0.55,0
CUST_00224,high_value,94801.62,11,11,0,0.8,0
CUST_00225,reliable,14086.33,6,6,0,0.75,0
CUST_00226,price_sensitive,6073.45,5,4,1,0.6,0
CUST_00227,occasional,3210.69,3,2,1,0.55,0
CUST_00228,unresponsive,7050.19,5,5,0,0.25,0
CUST_00229,reliable,22360.47,12,12,0,0.75,0
CUST_00230,frequent_failure,3315.39,4,2,2,0.35,0
CUST_00231,reliable,18870.49,10,9,1,0.75,0
CUST_00232,reliable,8130.43,5,5,0,0.75,0
CUST_00233,price_sensitive,3653.36,5,3,2,0.6,0
CUST_00234,price_sensitive,4041.79,3,3,0,0.6,0
CUST_00235,reliable,17910.71,8,8,0,0.75,0
CUST_00236,reliable,28356.89,14,14,0,0.75,0
CUST_00237,unresponsive,2191.63,3,1,2,0.25,0
CUST_00238,reliable,12450.09,6,6,0,0.75,0
CUST_00239,price_sensitive,2562.18,4,3,1,0.6,0
CUST_00240,price_sensitive,915.91,1,1,0,0.6,0
CUST_00241,occasional,3023.42,2,2,0,0.55,0
CUST_00242,price_sensitive,4405.87,4,3,1,0.6,0
CUST_00243,occasional,2520.62,5,2,3,0.55,0
CUST_00244,frequent_failure,6526.85,10,6,4,0.35,0
CUST_00245,reliable,5701.87,4,4,0,0.75,0
CUST_00246,high_value,13431.36,4,4,0,0.8,0
CUST_00247,reliable,11358.15,6,6,0,0.75,0
CUST_00248,occasional,6662.51,4,4,0,0.55,0
CUST_00249,price_sensitive,1064.65,1,1,0,0.6,0
CUST_00250,reliable,4765.84,6,5,1,0.75,0
CUST_00251,occasional,7505.21,6,5,1,0.55,0
CUST_00252,high_value,71892.93,9,9,0,0.8,0
CUST_00253,reliable,4657.2,4,4,0,0.75,0
CUST_00254,occasional,5473.98,3,3,0,0.55,0
CUST_00255,frequent_failure,6334.04,7,5,2,0.35,0
CUST_00256,frequent_failure,2866.02,2,2,0,0.35,0
CUST_00257,reliable,8454.52,5,4,1,0.75,0
CUST_00258,reliable,16497.81,10,10,0,0.75,0
CUST_00259,reliable,5455.89,6,6,0,0.75,0
CUST_00260,frequent_failure,12344.57,10,8,2,0.35,0
CUST_00261,unresponsive,990.19,1,1,0,0.25,0
CUST_00262,unresponsive,8481.85,7,5,2,0.25,0
CUST_00263,occasional,5359.08,7,6,1,0.55,0
CUST_00264,reliable,18469.96,13,13,0,0.75,0
CUST_00265,unresponsive,3674.85,4,2,2,0.25,0
CUST_00266,high_value,13907.4,7,7,0,0.8,0
CUST_00267,price_sensitive,1362.11,5,1,4,0.6,0
CUST_00268,frequent_failure,4400.26,5,3,2,0.35,0
CUST_00269,price_sensitive,3893.56,6,6,0,0.6,0
CUST_00270,reliable,4261.39,5,4,1,0.75,0
CUST_00271,unresponsive,3727.4,2,2,0,0.25,0
CUST_00272,reliable,8887.63,4,4,0,0.75,0
CUST_00273,price_sensitive,5582.41,6,5,1,0.6,0
CUST_00274,frequent_failure,6950.74,8,5,3,0.35,0
CUST_00275,reliable,15641.6,10,10,0,0.75,0
CUST_00276,reliable,3737.12,2,2,0,0.75,0
CUST_00277,reliable,7068.49,5,5,0,0.75,0
CUST_00278,price_sensitive,1409.54,2,1,1,0.6,0
CUST_00279,reliable,22344.29,11,10,1,0.75,0
CUST_00280,price_sensitive,10079.55,7,7,0,0.6,0
CUST_00281,high_value,46551.11,7,7,0,0.8,0
CUST_00282,reliable,24536.1,10,10,0,0.75,0
CUST_00283,price_sensitive,2575.25,5,3,2,0.6,0
CUST_00284,reliable,5821.79,5,5,0,0.75,0
CUST_00285,occasional,1323.69,1,1,0,0.55,0
CUST_00286,frequent_failure,442.39,4,1,3,0.35,0
CUST_00287,unresponsive,13084.01,7,7,0,0.25,0
CUST_00288,reliable,6198.95,3,3,0,0.75,0
CUST_00289,occasional,4373.0,3,3,0,0.55,0
CUST_00290,reliable,14583.2,8,8,0,0.75,0
CUST_00291,reliable,16522.45,11,11,0,0.75,0
CUST_00292,high_value,38274.66,7,6,1,0.8,0
CUST_00293,price_sensitive,3202.01,5,4,1,0.6,0
CUST_00294,reliable,13839.04,8,8,0,0.75,0
CUST_00295,high_value,20085.5,3,3,0,0.8,0
CUST_00296,price_sensitive,8832.97,8,7,1,0.6,0
CUST_00297,occasional,4647.18,4,3,1,0.55,0
CUST_00298,reliable,16277.55,9,9,0,0.75,0
CUST_00299,reliable,1237.32,1,1,0,0.75,0
CUST_00300,unresponsive,7367.22,4,4,0,0.25,0
CUST_00301,frequent_failure,3452.65,7,4,3,0.35,0
CUST_00302,occasional,5872.01,8,7,1,0.55,0
CUST_00303,unresponsive,4311.56,3,3,0,0.25,0
CUST_00304,price_sensitive,6443.69,7,5,2,0.6,0
CUST_00305,reliable,6909.14,11,11,0,0.75,0
CUST_00306,reliable,20784.79,11,11,0,0.75,0
CUST_00307,occasional,1163.5,1,1,0,0.55,0
CUST_00308,unresponsive,6454.64,4,4,0,0.25,0
CUST_00309,high_value,112606.97,11,11,0,0.8,0
CUST_00310,unresponsive,2735.88,4,3,1,0.25,0
CUST_00311,unresponsive,4041.56,3,2,1,0.25,0
CUST_00312,reliable,17561.35,14,13,1,0.75,0
CUST_00313,reliable,14793.78,11,10,1,0.75,0
CUST_00314,reliable,4899.98,2,2,0,0.75,0
CUST_00315,high_value,49376.99,8,7,1,0.8,0
CUST_00316,unresponsive,8538.05,5,5,0,0.25,0
CUST_00317,occasional,11395.29,9,8,1,0.55,0
CUST_00318,price_sensitive,2772.19,4,3,1,0.6,0
CUST_00319,reliable,13104.06,7,7,0,0.75,0
CUST_00320,frequent_failure,7315.4,6,5,1,0.35,0
CUST_00321,unresponsive,6616.32,3,3,0,0.25,0
CUST_00322,frequent_failure,5503.29,7,5,2,0.35,0
CUST_00323,unresponsive,2762.66,4,2,2,0.25,0
CUST_00324,unresponsive,2982.68,4,2,2,0.25,0
CUST_00325,reliable,15329.61,9,9,0,0.75,0
CUST_00326,high_value,40094.94,5,5,0,0.8,0
CUST_00327,occasional,7682.24,7,7,0,0.55,0
CUST_00328,frequent_failure,5016.79,6,4,2,0.35,0
CUST_00329,unresponsive,6974.69,4,4,0,0.25,0
CUST_00330,unresponsive,1827.18,1,1,0,0.25,0
CUST_00331,unresponsive,4564.01,2,2,0,0.25,0
CUST_00332,reliable,21640.3,13,13,0,0.75,0
CUST_00333,high_value,63640.11,10,10,0,0.8,0
CUST_00334,reliable,18016.04,7,7,0,0.75,0
CUST_00335,unresponsive,1700.82,2,1,1,0.25,0
CUST_00336,unresponsive,4348.64,3,3,0,0.25,0
CUST_00337,reliable,12913.76,7,7,0,0.75,0
CUST_00338,unresponsive,2808.29,5,3,2,0.25,0
CUST_00339,occasional,8767.94,6,6,0,0.55,0
CUST_00340,occasional,17113.88,8,7,1,0.55,0
CUST_00341,high_value,37318.63,4,4,0,0.8,0
CUST_00342,reliable,6639.91,3,3,0,0.75,0
CUST_00343,reliable,8260.5,7,7,0,0.75,0
CUST_00344,reliable,15458.52,10,10,0,0.75,0
CUST_00345,occasional,7758.61,5,5,0,0.55,0
CUST_00346,unresponsive,3832.72,3,3,0,0.25,0
CUST_00347,frequent_failure,3918.61,3,2,1,0.35,0
CUST_00348,reliable,17850.52,8,8,0,0.75,0
CUST_00349,price_sensitive,5120.91,6,5,1,0.6,0
CUST_00350,occasional,6916.97,4,4,0,0.55,0
CUST_00351,frequent_failure,11235.29,8,6,2,0.35,0
CUST_00352,occasional,2602.01,2,2,0,0.55,0
CUST_00353,frequent_failure,7243.08,5,5,0,0.35,0
CUST_00354,reliable,22096.08,10,9,1,0.75,0
CUST_00355,frequent_failure,8428.98,11,8,3,0.35,0
CUST_00356,reliable,13416.09,9,9,0,0.75,0
CUST_00357,frequent_failure,7878.28,8,5,3,0.35,0
CUST_00358,reliable,9962.92,8,8,0,0.75,0
CUST_00359,reliable,8422.46,4,4,0,0.75,0
CUST_00360,occasional,10354.27,8,8,0,0.55,0
CUST_00361,high_value,59410.39,8,8,0,0.8,0
CUST_00362,occasional,5411.7,5,4,1,0.55,0
CUST_00363,price_sensitive,4097.58,4,3,1,0.6,0
CUST_00364,occasional,9094.2,8,6,2,0.55,0
CUST_00365,occasional,16346.97,10,9,1,0.55,0
CUST_00366,price_sensitive,8532.35,6,6,0,0.6,0
CUST_00367,reliable,16283.08,8,8,0,0.75,0
CUST_00368,high_value,69967.63,9,7,2,0.8,0
CUST_00369,reliable,7551.04,4,4,0,0.75,0
CUST_00370,frequent_failure,5267.79,11,5,6,0.35,0
CUST_00371,occasional,6639.75,5,5,0,0.55,0
CUST_00372,high_value,24400.66,4,4,0,0.8,0
CUST_00373,high_value,52691.96,8,8,0,0.8,0
CUST_00374,price_sensitive,3009.66,3,3,0,0.6,0
CUST_00375,occasional,2914.66,4,4,0,0.55,0
CUST_00376,reliable,13859.62,8,8,0,0.75,0
CUST_00377,price_sensitive,4734.55,3,3,0,0.6,0
CUST_00378,occasional,11588.09,10,9,1,0.55,0
CUST_00379,occasional,7367.72,7,6,1,0.55,0
CUST_00380,unresponsive,5213.93,4,3,1,0.25,0
CUST_00381,high_value,44521.64,7,7,0,0.8,0
CUST_00382,occasional,6056.54,6,5,1,0.55,0
CUST_00383,occasional,4644.65,5,4,1,0.55,0
CUST_00384,occasional,2326.22,3,2,1,0.55,0
CUST_00385,occasional,5361.11,6,5,1,0.55,0
CUST_00386,reliable,14994.99,11,10,1,0.75,0
CUST_00387,reliable,7238.3,4,4,0,0.75,0
CUST_00388,occasional,3420.71,2,2,0,0.55,0
CUST_00389,frequent_failure,4142.95,4,3,1,0.35,0
CUST_00390,price_sensitive,2562.87,4,3,1,0.6,0
CUST_00391,frequent_failure,9323.1,7,7,0,0.35,0
CUST_00392,price_sensitive,1456.36,3,1,2,0.6,0
CUST_00393,occasional,15722.46,10,9,1,0.55,0
CUST_00394,occasional,7053.73,4,4,0,0.55,0
CUST_00395,reliable,13620.78,7,7,0,0.75,0
CUST_00396,reliable,16686.01,13,13,0,0.75,0
CUST_00397,occasional,6668.52,7,6,1,0.55,0
CUST_00398,price_sensitive,2797.91,4,3,1,0.6,0
CUST_00399,price_sensitive,5668.91,5,5,0,0.6,0
CUST_00400,occasional,10469.68,10,10,0,0.55,0
CUST_00401,occasional,5792.21,5,3,2,0.55,0
CUST_00402,reliable,8283.81,4,4,0,0.75,0
CUST_00403,occasional,10041.9,8,8,0,0.55,0
CUST_00404,frequent_failure,11480.99,8,6,2,0.35,0
CUST_00405,high_value,25833.23,5,4,1,0.8,0
CUST_00406,reliable,12143.95,10,10,0,0.75,0
CUST_00407,reliable,15047.39,8,8,0,0.75,0
CUST_00408,occasional,3141.19,3,2,1,0.55,0
CUST_00409,price_sensitive,6308.43,4,4,0,0.6,0
CUST_00410,occasional,3300.39,3,3,0,0.55,0
CUST_00411,unresponsive,3322.48,2,2,0,0.25,0
CUST_00412,high_value,103499.49,12,11,1,0.8,0
CUST_00413,price_sensitive,6293.35,7,6,1,0.6,0
CUST_00414,reliable,13576.5,7,7,0,0.75,0
CUST_00415,reliable,28524.76,12,12,0,0.75,0
CUST_00416,reliable,16026.38,7,7,0,0.75,0
CUST_00417,reliable,13631.51,6,6,0,0.75,0
CUST_00418,occasional,1979.39,2,1,1,0.55,0
CUST_00419,unresponsive,8166.96,5,5,0,0.25,0
CUST_00420,reliable,4698.03,3,3,0,0.75,0
CUST_00421,occasional,793.16,3,1,2,0.55,0
CUST_00422,price_sensitive,4775.05,5,4,1,0.6,0
CUST_00423,reliable,18943.31,9,9,0,0.75,0
CUST_00424,price_sensitive,2660.6,3,3,0,0.6,0
CUST_00425,occasional,5588.87,5,5,0,0.55,0
CUST_00426,reliable,4777.95,4,4,0,0.75,0
CUST_00427,price_sensitive,3483.17,5,5,0,0.6,0
CUST_00428,reliable,12594.95,10,8,2,0.75,0
CUST_00429,high_value,88363.35,10,10,0,0.8,0
CUST_00430,high_value,23814.56,7,6,1,0.8,0
CUST_00431,reliable,12768.82,8,8,0,0.75,0
CUST_00432,occasional,11992.07,8,7,1,0.55,0
CUST_00433,reliable,7094.59,5,5,0,0.75,0
CUST_00434,frequent_failure,6824.5,5,4,1,0.35,0
CUST_00435,occasional,5257.82,3,3,0,0.55,0
CUST_00436,reliable,8646.99,7,7,0,0.75,0
CUST_00437,reliable,18245.75,13,13,0,0.75,0
CUST_00438,unresponsive,2630.22,3,2,1,0.25,0
CUST_00439,occasional,4535.73,4,4,0,0.55,0
CUST_00440,unresponsive,5144.56,4,3,1,0.25,0
CUST_00441,price_sensitive,2534.62,2,2,0,0.6,0
CUST_00442,frequent_failure,10994.72,6,5,1,0.35,0
CUST_00443,price_sensitive,4353.5,3,3,0,0.6,0
CUST_00444,frequent_failure,5639.43,6,4,2,0.35,0
CUST_00445,unresponsive,4509.0,6,4,2,0.25,0
CUST_00446,price_sensitive,1223.61,1,1,0,0.6,0
CUST_00447,high_value,48017.42,5,5,0,0.8,0
CUST_00448,occasional,2212.01,1,1,0,0.55,0
CUST_00449,unresponsive,4652.54,5,4,1,0.25,0
CUST_00450,occasional,13537.3,8,8,0,0.55,0
CUST_00451,unresponsive,4757.81,4,4,0,0.25,0
CUST_00452,high_value,68643.76,7,7,0,0.8,0
CUST_00453,occasional,2709.06,4,4,0,0.55,0
CUST_00454,reliable,10439.11,8,7,1,0.75,0
CUST_00455,reliable,18249.16,9,9,0,0.75,0
CUST_00456,price_sensitive,1799.45,2,2,0,0.6,0
CUST_00457,high_value,58890.41,8,8,0,0.8,0
CUST_00458,occasional,8241.1,7,6,1,0.55,0
CUST_00459,price_sensitive,6432.73,8,6,2,0.6,0
CUST_00460,reliable,12626.02,9,8,1,0.75,0
CUST_00461,reliable,8472.75,5,5,0,0.75,0
CUST_00462,reliable,15143.45,8,7,1,0.75,0
CUST_00463,reliable,20497.86,11,11,0,0.75,0
CUST_00464,occasional,5868.06,3,3,0,0.55,0
CUST_00465,occasional,1124.08,3,3,0,0.55,0
CUST_00466,reliable,13619.19,5,5,0,0.75,0
CUST_00467,reliable,16479.92,6,6,0,0.75,0
CUST_00468,price_sensitive,3792.03,3,3,0,0.6,0
CUST_00469,high_value,24295.28,3,3,0,0.8,0
CUST_00470,reliable,7435.84,4,4,0,0.75,0
CUST_00471,occasional,5754.55,4,4,0,0.55,0
CUST_00472,occasional,6310.39,4,4,0,0.55,0
CUST_00473,occasional,9455.7,6,6,0,0.55,0
CUST_00474,reliable,14789.41,10,9,1,0.75,0
CUST_00475,occasional,2505.94,4,4,0,0.55,0
CUST_00476,frequent_failure,3317.65,6,2,4,0.35,0
CUST_00477,price_sensitive,9070.76,7,6,1,0.6,0
CUST_00478,price_sensitive,4832.6,4,3,1,0.6,0
CUST_00479,unresponsive,951.44,1,1,0,0.25,0
CUST_00480,high_value,58192.96,8,7,1,0.8,0
