payment_code,customer_code,amount,payment_method,failure_reason,status,created_at
PAY_000163,CUST_01081,830.07,NETBANKING,,SUCCESS,2026-08-18 16:32:40.856249
PAY_000164,CUST_00884,1141.18,WALLET,,SUCCESS,2026-08-17 15:41:40.856759
PAY_000165,CUST_04027,1975.92,CARD,,SUCCESS,2026-07-28 09:50:40.857300
PAY_000166,CUST_03281,913.64,CARD,,SUCCESS,2026-08-02 04:22:40.857866
PAY_000167,CUST_00152,1018.96,CARD,,SUCCESS,2026-07-29 20:16:40.858495
PAY_000168,CUST_01243,916.69,WALLET,,SUCCESS,2026-08-14 23:59:40.859027
PAY_000169,CUST_02748,1349.24,UPI,,SUCCESS,2026-08-23 13:58:40.859556
PAY_000170,CUST_01002,1695.32,NETBANKING,,SUCCESS,2026-08-06 11:51:40.860103
PAY_000171,CUST_03183,1383.04,WALLET,INSUFFICIENT_FUNDS,FAILED,2026-07-28 01:46:40.860618
PAY_000172,CUST_04721,2217.0,UPI,,SUCCESS,2026-08-09 00:22:40.861147
PAY_000173,CUST_02392,964.6,NETBANKING,,SUCCESS,2026-08-08 23:26:40.861661
PAY_000174,CUST_01772,10446.62,WALLET,,SUCCESS,2026-08-05 00:37:40.862214
PAY_000175,CUST_01844,1257.9,UPI,,SUCCESS,2026-08-02 04:55:40.862730
PAY_000176,CUST_01334,1401.6,WALLET,,SUCCESS,2026-08-04 20:20:40.863258
PAY_000177,CUST_04312,1869.29,NETBANKING,,SUCCESS,2026-08-11 14:40:40.863778
PAY_000178,CUST_03732,2893.75,WALLET,,SUCCESS,2026-08-24 06:35:40.864357
PAY_000179,CUST_01844,1832.03,UPI,,SUCCESS,2026-08-10 03:49:40.864929
PAY_000180,CUST_03684,1535.83,NETBANKING,,SUCCESS,2026-08-23 03:00:40.865483
PAY_000181,CUST_04315,2516.72,NETBANKING,,SUCCESS,2026-07-28 07:19:40.866262
PAY_000182,CUST_02735,865.23,UPI,,SUCCESS,2026-08-09 07:16:40.866824
PAY_000183,CUST_01107,7785.91,NETBANKING,,SUCCESS,2026-08-09 00:47:40.867355
PAY_000184,CUST_00053,2375.91,NETBANKING,,SUCCESS,2026-08-04 15:29:40.867877
PAY_000185,CUST_00013,2177.91,WALLET,,SUCCESS,2026-08-18 03:56:40.868391
PAY_000186,CUST_00691,8073.26,CARD,,SUCCESS,2026-08-25 15:10:40.868911
PAY_000187,CUST_03428,7047.19,CARD,,SUCCESS,2026-08-04 12:30:40.869422
PAY_000188,CUST_00746,693.39,NETBANKING,,SUCCESS,2026-08-04 01:05:40.869939
PAY_000189,CUST_04585,777.68,WALLET,,SUCCESS,2026-08-26 00:57:40.870452
PAY_000190,CUST_00951,5159.69,UPI,BANK_DECLINED,FAILED,2026-08-24 20:07:40.870973
PAY_000191,CUST_03463,1133.56,CARD,,SUCCESS,2026-07-28 00:42:40.871541
PAY_000192,CUST_01696,1502.74,WALLET,,SUCCESS,2026-08-02 08:48:40.872375
PAY_000193,CUST_02188,4710.43,CARD,,SUCCESS,2026-08-23 12:12:40.872987
PAY_000194,CUST_00675,1260.28,CARD,NETWORK_ERROR,FAILED,2026-07-28 00:43:40.873508
PAY_000195,CUST_01289,1106.79,UPI,INSUFFICIENT_FUNDS,FAILED,2026-07-28 06:14:40.874079
PAY_000196,CUST_04896,1978.16,CARD,,SUCCESS,2026-07-28 23:50:40.874590
PAY_000197,CUST_00433,1860.46,NETBANKING,,SUCCESS,2026-08-22 08:36:40.875153
PAY_000198,CUST_00507,1902.07,CARD,,SUCCESS,2026-07-30 21:18:40.875668
PAY_000199,CUST_04457,1514.38,UPI,BANK_TIMEOUT,FAILED,2026-08-04 03:52:40.876226
PAY_000200,CUST_03020,2221.78,CARD,,SUCCESS,2026-08-23 21:57:40.876742
PAY_000201,CUST_03169,689.69,WALLET,,SUCCESS,2026-08-11 10:24:40.877289
PAY_000202,CUST_03234,2167.74,WALLET,,SUCCESS,2026-08-12 00:43:40.877805
PAY_000203,CUST_01279,8393.09,CARD,,SUCCESS,2026-08-12 03:37:40.878432
PAY_000204,CUST_04775,1713.44,CARD,,SUCCESS,2026-08-24 17:05:40.879073
PAY_000205,CUST_00779,1227.96,NETBANKING,,SUCCESS,2026-08-23 21:49:40.879633
PAY_000206,CUST_01760,7240.22,CARD,,SUCCESS,2026-08-07 21:25:40.880202
PAY_000207,CUST_03967,2336.25,NETBANKING,,SUCCESS,2026-08-01 14:24:40.880717
PAY_000208,CUST_01842,1230.14,CARD,AUTHENTICATION_FAILED,FAILED,2026-08-24 22:25:40.881270
PAY_000209,CUST_03009,1877.24,WALLET,INSUFFICIENT_FUNDS,FAILED,2026-08-26 01:48:40.881778
PAY_000210,CUST_00962,940.91,UPI,,SUCCESS,2026-08-26 11:56:40.882804
PAY_000211,CUST_03392,1642.17,UPI,AUTHENTICATION_FAILED,FAILED,2026-08-13 20:58:40.883580
PAY_000212,CUST_01095,1485.15,WALLET,,SUCCESS,2026-08-21 00:16:40.884377
PAY_000213,CUST_04203,500.62,NETBANKING,,SUCCESS,2026-08-02 23:31:40.885418
PAY_000214,CUST_03067,799.95,CARD,,SUCCESS,2026-08-18 20:13:40.886403
PAY_000215,CUST_03334,1034.41,UPI,,SUCCESS,2026-07-30 15:35:40.887317
PAY_000216,CUST_01783,679.25,WALLET,AUTHENTICATION_FAILED,FAILED,2026-08-22 18:44:40.888215
PAY_000217,CUST_00554,4967.67,NETBANKING,,SUCCESS,2026-08-10 22:56:40.889288
PAY_000218,CUST_01857,8269.17,CARD,,SUCCESS,2026-08-18 01:16:40.890187
PAY_000219,CUST_04745,2138.47,UPI,AUTHENTICATION_FAILED,FAILED,2026-08-10 07:35:40.891081
PAY_000220,CUST_04456,887.23,CARD,,SUCCESS,2026-08-05 15:50:40.891984
PAY_000221,CUST_00255,677.23,CARD,,SUCCESS,2026-08-14 04:57:40.892897
PAY_000222,CUST_01259,1359.11,UPI,INSUFFICIENT_FUNDS,FAILED,2026-08-05 04:41:40.893797
PAY_000223,CUST_04644,9777.5,CARD,,SUCCESS,2026-08-24 19:47:40.894710
PAY_000224,CUST_03006,799.73,NETBANKING,BANK_DECLINED,FAILED,2026-08-17 05:57:40.895559
PAY_000225,CUST_04203,524.51,NETBANKING,,SUCCESS,2026-07-29 17:09:40.896253
PAY_000226,CUST_04860,900.29,WALLET,,SUCCESS,2026-08-24 19:34:40.896773
PAY_000227,CUST_03264,10002.69,UPI,,SUCCESS,2026-08-02 07:56:40.897300
PAY_000228,CUST_04576,717.99,UPI,,SUCCESS,2026-08-04 17:04:40.897812
PAY_000229,CUST_04177,1707.06,UPI,,SUCCESS,2026-08-16 01:52:40.898702
PAY_000230,CUST_01908,1099.55,NETBANKING,,SUCCESS,2026-08-07 17:09:40.899365
PAY_000231,CUST_01597,706.66,NETBANKING,,SUCCESS,2026-08-16 07:35:40.899906
PAY_000232,CUST_02895,1855.08,NETBANKING,,SUCCESS,2026-08-16 10:05:40.900497
PAY_000233,CUST_01596,582.01,WALLET,,SUCCESS,2026-08-17 16:28:40.901336
PAY_000234,CUST_02440,1820.07,CARD,,SUCCESS,2026-08-23 10:34:40.902162
PAY_000235,CUST_00589,2019.6,WALLET,,SUCCESS,2026-08-24 07:31:40.902714
PAY_000236,CUST_04687,764.99,CARD,,SUCCESS,2026-08-16 22:46:40.903241
PAY_000237,CUST_03066,2089.21,WALLET,,SUCCESS,2026-08-18 16:23:40.903751
PAY_000238,CUST_00953,202.53,CARD,,SUCCESS,2026-08-05 22:54:40.904319
PAY_000239,CUST_00983,1612.99,NETBANKING,,SUCCESS,2026-08-14 12:18:40.904851
PAY_000240,CUST_02014,1097.6,CARD,,SUCCESS,2026-08-25 07:49:40.905573
PAY_000241,CUST_00305,589.75,UPI,,SUCCESS,2026-08-14 00:23:40.906127
PAY_000242,CUST_01554,1734.87,WALLET,,SUCCESS,2026-08-05 21:59:40.906654
PAY_000243,CUST_03598,196.01,NETBANKING,,SUCCESS,2026-08-16 18:44:40.907225
PAY_000244,CUST_03085,1461.77,CARD,,SUCCESS,2026-07-28 18:01:40.907793
PAY_000245,CUST_01871,3790.58,CARD,,SUCCESS,2026-07-31 11:25:40.908637
PAY_000246,CUST_00096,821.47,CARD,,SUCCESS,2026-08-22 20:25:40.909211
PAY_000247,CUST_04301,7525.58,WALLET,,SUCCESS,2026-08-16 22:28:40.909739
PAY_000248,CUST_02056,1742.03,WALLET,,SUCCESS,2026-08-14 01:57:40.910282
PAY_000249,CUST_02861,1865.8,WALLET,INSUFFICIENT_FUNDS,FAILED,2026-08-15 12:11:40.910803
PAY_000250,CUST_02676,5645.02,CARD,,SUCCESS,2026-07-30 20:30:40.911354
PAY_000251,CUST_02215,1802.37,UPI,,SUCCESS,2026-08-07 18:33:40.911870
PAY_000252,CUST_03350,821.0,UPI,,SUCCESS,2026-08-05 08:48:40.912380
PAY_000253,CUST_01097,1084.51,UPI,,SUCCESS,2026-08-07 09:54:40.912989
PAY_000254,CUST_04949,935.29,WALLET,,SUCCESS,2026-08-22 07:50:40.914018
PAY_000255,CUST_00098,1952.57,CARD,,SUCCESS,2026-08-23 00:07:40.914959
PAY_000256,CUST_00632,336.55,UPI,,SUCCESS,2026-08-08 06:44:40.915723
PAY_000257,CUST_04970,576.33,CARD,,SUCCESS,2026-08-10 11:24:40.916330
PAY_000258,CUST_01283,1374.16,UPI,,SUCCESS,2026-08-26 01:29:40.916858
PAY_000259,CUST_00895,2041.22,NETBANKING,,SUCCESS,2026-08-19 10:09:40.917375
PAY_000260,CUST_04289,2024.92,UPI,,SUCCESS,2026-08-06 02:04:40.917893
PAY_000261,CUST_00722,1069.92,CARD,,SUCCESS,2026-08-08 08:07:40.918406
PAY_000262,CUST_03531,1301.4,NETBANKING,,SUCCESS,2026-07-29 06:14:40.918927
PAY_000263,CUST_02835,1441.8,UPI,,SUCCESS,2026-07-29 05:41:40.919444
PAY_000264,CUST_02690,894.28,NETBANKING,,SUCCESS,2026-08-02 14:58:40.919997
PAY_000265,CUST_02832,911.01,WALLET,BANK_DECLINED,FAILED,2026-07-29 21:52:40.920535
PAY_000266,CUST_02269,1577.26,CARD,,SUCCESS,2026-08-23 02:27:40.921079
PAY_000267,CUST_00498,2107.46,NETBANKING,,SUCCESS,2026-08-24 07:00:40.921903
PAY_000268,CUST_02293,4935.67,NETBANKING,,SUCCESS,2026-08-24 10:33:40.922694
PAY_000269,CUST_00318,1513.43,NETBANKING,NETWORK_ERROR,FAILED,2026-07-29 14:37:40.923282
PAY_000270,CUST_00843,272.48,NETBANKING,INSUFFICIENT_FUNDS,FAILED,2026-07-28 06:54:40.923866
PAY_000271,CUST_02261,762.42,UPI,,SUCCESS,2026-08-01 06:23:40.924435
PAY_000272,CUST_00216,415.67,CARD,,SUCCESS,2026-08-20 11:42:40.925000
PAY_000273,CUST_03602,1615.51,CARD,,SUCCESS,2026-08-02 05:27:40.925583
PAY_000274,CUST_02288,1337.78,WALLET,AUTHENTICATION_FAILED,FAILED,2026-08-17 05:43:40.926154
PAY_000275,CUST_00934,2627.93,CARD,,SUCCESS,2026-08-12 04:51:40.926719
PAY_000276,CUST_02210,959.93,NETBANKING,,SUCCESS,2026-08-03 20:51:40.927282
PAY_000277,CUST_04265,2974.02,NETBANKING,,SUCCESS,2026-08-24 07:23:40.927871
PAY_000278,CUST_03417,1184.63,NETBANKING,,SUCCESS,2026-08-06 04:43:40.928571
PAY_000279,CUST_01920,766.76,UPI,,SUCCESS,2026-08-05 09:20:40.929322
PAY_000280,CUST_04138,6772.44,NETBANKING,,SUCCESS,2026-08-06 05:12:40.929881
PAY_000281,CUST_02929,6494.67,UPI,,SUCCESS,2026-08-18 05:09:40.930416
PAY_000282,CUST_01854,6610.15,WALLET,,SUCCESS,2026-08-22 19:31:40.930937
