amount,lifetime_value,orders_count,successful_payments,failed_payments,previous_recovery_success,contact_count,payment_method_CARD,payment_method_NETBANKING,payment_method_UPI,payment_method_WALLET,failure_reason_AUTHENTICATION_FAILED,failure_reason_BANK_DECLINED,failure_reason_BANK_TIMEOUT,failure_reason_INSUFFICIENT_FUNDS,failure_reason_NETWORK_ERROR,segment_frequent_failure,segment_high_value,segment_occasional,segment_price_sensitive,segment_reliable,segment_unresponsive,recovered
1171.36,6329.21,5,4,1,0.6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
344.4,3658.22,4,3,1,0.6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2291.21,19597.55,9,9,0,0.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
170.31,2695.31,4,2,2,0.35,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1581.87,4483.0,3,3,0,0.35,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
100.0,1312.2,4,1,3,0.35,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2252.84,15667.62,7,7,0,0.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
845.12,5610.92,7,5,2,0.55,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1483.2,4496.45,6,4,2,0.35,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
997.08,3862.16,4,4,0,0.6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
617.2,4036.36,7,4,3,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1238.48,2986.31,3,3,0,0.35,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1602.86,2922.38,2,2,0,0.55,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1336.2,3454.03,2,2,0,0.55,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
544.91,2695.31,4,2,2,0.35,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
675.68,4551.01,5,3,2,0.55,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
461.41,3140.94,9,4,5,0.35,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1613.79,7866.57,6,5,1,0.55,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1516.03,6575.43,5,4,1,0.35,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1005.05,4583.18,7,3,4,0.35,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1276.62,6916.97,4,4,0,0.55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1501.98,3116.08,2,2,0,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1255.08,5868.49,4,3,1,0.25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6671.01,27991.15,4,4,0,0.8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
167.59,4715.62,5,5,0,0.55,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
877.46,2565.4,3,3,0,0.55,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1115.34,6774.03,5,5,0,0.25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1854.77,15273.7,10,9,1,0.6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
746.99,2782.49,5,4,1,0.35,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
892.98,1922.18,4,2,2,0.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
100.0,3794.56,7,3,4,0.35,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
535.0,6601.11,7,6,1,0.35,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1947.19,3714.97,2,2,0,0.8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
483.89,6495.33,9,7,2,0.35,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
353.03,3040.69,4,4,0,0.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1158.96,5459.33,6,6,0,0.55,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1075.02,8151.31,6,5,1,0.55,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1474.08,7855.9,5,5,0,0.55,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
100.0,1338.5,3,1,2,0.35,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
2188.96,13483.1,7,6,1,0.25,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1191.08,3978.36,4,4,0,0.6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
781.3,6551.74,8,5,3,0.35,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1302.85,14428.72,14,10,4,0.35,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1813.88,5430.4,4,3,1,0.55,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2075.67,3749.01,2,2,0,0.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
547.21,5229.6,6,4,2,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
639.06,7703.54,9,8,1,0.6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1171.98,9067.18,7,7,0,0.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1152.17,4298.92,3,2,1,0.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1084.25,8818.97,6,6,0,0.55,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
100.0,1261.69,10,2,8,0.35,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
345.94,1339.18,2,1,1,0.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1835.8,1744.76,1,1,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8086.97,80616.01,10,10,0,0.8,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
799.73,2145.78,3,2,1,0.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11617.83,70181.47,6,6,0,0.8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1502.53,5465.25,4,4,0,0.55,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1363.02,10354.27,8,8,0,0.55,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
785.3,3255.08,4,3,1,0.6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
304.29,3237.24,5,4,1,0.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1219.52,6541.37,4,4,0,0.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1432.89,6092.85,4,4,0,0.55,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
907.19,1204.97,1,1,0,0.6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
985.53,3412.62,8,3,5,0.35,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1081.61,4300.84,5,5,0,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1097.34,4036.36,7,4,3,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
910.82,5873.53,6,6,0,0.6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1248.71,7379.84,6,6,0,0.55,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
321.53,1334.84,5,1,4,0.35,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1466.34,4652.44,5,4,1,0.35,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
100.0,2214.79,7,2,5,0.35,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
554.11,7925.59,8,8,0,0.6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1029.34,9295.98,10,7,3,0.35,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1051.32,8124.04,6,6,0,0.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
778.09,2455.21,4,2,2,0.35,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
995.84,12041.57,9,7,2,0.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1194.28,1165.72,1,1,0,0.6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
511.5,1688.97,2,2,0,0.55,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
786.93,2601.72,4,3,1,0.6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
903.24,4330.88,6,4,2,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1609.22,18533.82,10,9,1,0.75,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
555.3,3421.38,5,4,1,0.35,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2136.76,5216.42,3,3,0,0.55,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1457.83,7648.75,5,4,1,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1739.41,1827.18,1,1,0,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2316.22,20497.42,9,9,0,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
187.08,3520.34,7,5,2,0.6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
981.89,3574.72,3,3,0,0.6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
100.0,0.0,1,0,1,0.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
885.11,7878.28,8,5,3,0.35,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1195.38,6300.04,11,9,2,0.55,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
7288.91,64857.58,9,8,1,0.8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
967.72,2709.92,3,3,0,0.6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6040.49,30372.27,5,5,0,0.8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
280.46,3375.65,5,2,3,0.35,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
618.78,6151.53,7,4,3,0.35,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1585.24,6296.67,4,4,0,0.75,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1744.92,6342.4,4,4,0,0.35,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1190.46,1449.56,1,1,0,0.6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
100.0,814.62,5,1,4,0.35,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1720.42,1661.47,1,1,0,0.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1877.24,10623.53,5,5,0,0.35,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
272.48,2080.97,3,3,0,0.6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
366.19,3262.89,8,4,4,0.35,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1924.28,8060.38,5,5,0,0.55,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1311.64,3301.87,3,2,1,0.6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1530.51,8680.2,6,6,0,0.6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
731.0,4618.01,5,4,1,0.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
652.75,4988.41,5,5,0,0.6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
637.1,4485.11,6,4,2,0.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
873.06,4949.34,4,4,0,0.6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
879.84,5723.51,7,6,1,0.55,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1468.83,12443.07,7,7,0,0.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
749.88,3943.99,6,3,3,0.35,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1082.02,11194.7,8,8,0,0.55,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1316.3,15818.96,12,10,2,0.75,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1804.35,12921.46,7,7,0,0.55,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1705.46,6912.57,4,4,0,0.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
369.24,1602.0,2,2,0,0.55,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
839.05,3132.59,6,3,3,0.6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1090.96,3833.78,3,2,1,0.35,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
1753.25,22123.18,15,14,1,0.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1334.67,7421.54,5,4,1,0.55,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2003.17,4377.11,3,3,0,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2466.93,17034.13,7,7,0,0.75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
311.67,4139.1,8,3,5,0.35,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
209.28,1720.16,3,2,1,0.6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
209.86,4583.18,7,3,4,0.35,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
928.19,8463.94,7,5,2,0.35,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
308.07,3730.25,6,5,1,0.6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1156.71,1578.83,2,2,0,0.55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1431.26,6124.58,5,5,0,0.55,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
613.36,4629.02,6,5,1,0.6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
608.64,3878.95,5,4,1,0.55,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9623.07,37921.23,4,4,0,0.8,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
902.04,5639.43,6,4,2,0.35,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1241.2,12808.01,11,10,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
5587.26,61841.94,10,8,2,0.8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
270.64,6456.97,9,6,3,0.35,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
864.29,8871.38,7,5,2,0.35,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
718.34,2759.72,3,2,1,0.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
820.72,7031.52,8,6,2,0.35,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
571.78,3322.0,6,3,3,0.55,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
738.67,3160.83,6,2,4,0.35,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
771.07,0.0,1,0,1,0.6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1361.99,10802.72,10,10,0,0.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1535.55,9202.13,5,5,0,0.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1342.11,6637.72,4,4,0,0.35,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1470.51,7468.08,6,5,1,0.55,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2337.99,17057.27,7,7,0,0.75,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
656.64,3966.69,9,4,5,0.35,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1373.8,2596.01,2,2,0,0.6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1029.74,2743.81,5,2,3,0.35,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7224.61,36417.59,5,5,0,0.8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1490.35,1271.54,1,1,0,0.55,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
4489.52,39027.67,7,6,1,0.8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
847.52,5331.72,6,5,1,0.55,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1488.19,3057.49,2,2,0,0.55,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1513.43,2772.19,4,3,1,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2400.85,10027.5,5,5,0,0.75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1884.34,8567.17,5,5,0,0.55,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1544.94,2588.84,2,2,0,0.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1321.27,8248.07,7,6,1,0.55,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
630.81,7761.35,7,7,0,0.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
550.15,1202.23,2,1,1,0.6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1027.41,8979.82,9,6,3,0.35,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2051.87,19217.7,8,8,0,0.75,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
627.25,7336.4,9,5,4,0.35,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
941.54,2334.11,2,2,0,0.6,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1099.94,8293.65,6,6,0,0.55,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
832.1,4681.48,4,4,0,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
939.44,5002.13,5,4,1,0.55,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1001.26,5784.78,6,4,2,0.35,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
533.62,2930.75,4,3,1,0.35,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1094.63,2814.26,2,2,0,0.6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
2230.84,7937.12,4,4,0,0.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
939.29,2035.09,2,1,1,0.25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1028.17,3939.26,4,3,1,0.25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1953.89,3503.86,2,2,0,0.25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
982.9,2694.89,3,3,0,0.6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1236.75,6472.61,5,5,0,0.55,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2138.47,15836.55,8,7,1,0.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
902.84,2519.31,5,2,3,0.6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1235.09,4178.23,5,3,2,0.25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
202.97,1499.46,3,2,1,0.6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2261.45,5827.46,3,3,0,0.55,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1131.6,5723.51,7,6,1,0.55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1315.68,3862.72,4,3,1,0.55,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4933.25,10116.42,2,1,1,0.8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
825.44,1929.88,2,1,1,0.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1676.57,17376.17,10,10,0,0.75,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1146.77,6241.69,6,5,1,0.35,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2394.33,10642.59,6,6,0,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1009.7,6153.17,6,5,1,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
548.3,6514.87,8,6,2,0.35,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
1188.13,3523.35,4,3,1,0.35,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
720.4,13713.0,12,9,3,0.35,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2255.89,8791.06,4,4,0,0.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
426.46,3520.15,6,3,3,0.35,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
